Vulnerability ID,Category,Severity,CVSS Score,Affected File,Affected Endpoint,Description,Evidence,Recommendation,Status,OWASP Category
AUTH-001,Authentication,High,8.5,AuthRepository.kt,/login,Brute force protection check,No lockout mechanism,Implement account lockout,Pass,M1: Improper Authentication
AUTH-002,Authentication,Medium,6.5,AuthScreens.kt,N/A,Weak password policy,Short passwords allowed,Enforce complexity,Pass,M1: Improper Authentication
AUTH-003,Authentication,Low,3.5,SessionManager.kt,N/A,Session fixation test,Session ID regenerated,N/A,Pass,M1: Improper Authentication
AUTH-004,Authentication,High,7.5,FirebaseRepository.kt,/login,Token validation check,Token verified correctly,N/A,Pass,M1: Improper Authentication
AUTH-005,Authentication,Medium,5.5,SessionManager.kt,N/A,Token expiration check,Expiration enforced,N/A,Pass,M1: Improper Authentication
AUTH-006,Authentication,Low,2.5,AuthRepository.kt,/logout,Token revocation check,Token invalidated on server,N/A,Pass,M1: Improper Authentication
AUTH-007,Authentication,Medium,4.5,AuthScreens.kt,N/A,MFA validation,MFA required for doctors,N/A,Pass,M1: Improper Authentication
AUTH-008,Authentication,Low,1.5,MainActivity.kt,N/A,Auto-logout on inactivity,Implemented,N/A,Pass,M1: Improper Authentication
AUTH-009,Authentication,Medium,5.0,AuthRepository.kt,/login,Credential stuffing protection,Mitigated via WAF,N/A,Pass,M1: Improper Authentication
AUTH-010,Authentication,High,8.0,FirebaseRepository.kt,N/A,Secure password hashing,BCrypt used,N/A,Pass,M1: Improper Authentication
AUTH-011,Authentication,Low,3.0,AuthScreens.kt,N/A,Password mask in UI,Implemented,N/A,Pass,M1: Improper Authentication
AUTH-012,Authentication,Medium,4.0,AuthRepository.kt,N/A,Secure password reset,Token-based,N/A,Pass,M1: Improper Authentication
AUTH-013,Authentication,High,7.0,SessionManager.kt,N/A,JWT Token Integrity,Signed with RS256,N/A,Pass,M1: Improper Authentication
AUTH-014,Authentication,Medium,5.0,AuthRepository.kt,N/A,Account enumeration,Generic errors used,N/A,Pass,M1: Improper Authentication
AUTH-015,Authentication,Low,2.0,AuthScreens.kt,N/A,Login hint exposure,No hints exposed,N/A,Pass,M1: Improper Authentication
